actorid,name,birthDate
1,송강호,1967/1/17
2,이선균,1975/3/2
3,로버트 드 니로,1943/8/17
4,알 파치노,1940/4/25
5,밀리 바비 브라운,2004/2/19
6,핀 울프하드,2002/12/23
7,주지훈,1982/5/16
8,배두나,1979/10/11
9,스칼렛 요한슨,1984/11/22
10,아담 드라이버,1983/11/19
11,루이스 호프만,1997/6/7
12,리사 비카리,1997/2/11
13,야리차 아파리시오,1993/12/11
14,마리나 데 타비라,1974/11/21
15,테일러 실링,1984/7/27
16,마이클 체르누스,1977/8/8
17,산드라 블록,1964/7/26
18,트레반트 로즈,1990/2/10
19,알바로 모르테,1975/2/23
20,우르술라 코르베로,1989/8/11
21,크리스 헴스워스,1983/8/11
22,루드락스 재슬왈라,1993/11/14
23,피비 디네버,1995/4/17
24,레게 장 페이지,1990/4/27
25,에디 레드메인,1982/1/6
26,사차 바론 코헨,1971/10/13
27,안야 테일러 조이,1996/4/16
28,해리 멜링,1989/3/17
29,밀리 바비 브라운,2004/2/19
30,헨리 카빌,1983/5/5
